epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,378.759,1.84621,2.39218,1.03993,0.2814,0.16347,0.13326,0.07177,1.68869,1.52425,0.98858,0.000237412,0.000237412,0.000237412
2,1000.87,1.67507,1.52016,0.99191,0.25078,0.2066,0.17232,0.09475,1.65,1.40625,0.97424,0.000381281,0.000381281,0.000381281
3,1351.36,1.62802,1.41066,0.97794,0.3038,0.21511,0.18688,0.10545,1.59967,1.3217,0.96491,0.000430901,0.000430901,0.000430901
4,1760.1,1.5866,1.33059,0.96757,0.3003,0.24815,0.22033,0.12259,1.53677,1.24632,0.95379,0.000289884,0.000289884,0.000289884
5,2142.82,1.55887,1.2841,0.95974,0.32352,0.25432,0.23039,0.13102,1.5114,1.19906,0.94163,0.000148512,0.000148512,0.000148512
